index_col,movie_id,movie_title (movie_year),genre
259,21013,Journey's End (1930),Drama|War
260,21054,The Laurel-Hardy Murder Case (1930),Short|Comedy|Crime|Mystery
261,21079,Little Caesar (1931),Action|Crime|Drama|Romance
262,21156,Morocco (1930),Drama|Romance
263,21165,Murder! (1930),Crime|Mystery|Thriller
264,21182,Night Owls (1930),Short|Comedy
265,21197,The Office Wife (1930),Drama|Romance
266,21283,Rakudai wa shitakeredo (1930),Comedy|Drama
267,21331,Le sang d'un poète (1932),Fantasy
268,21406,Sono yo no tsuma (1930),Crime|Drama
269,21409,Sous les toits de Paris (1930),Comedy|Drama|Musical
270,21508,Up the River (1930),Comedy|Crime|Drama
271,21542,Westfront 1918: Vier von der Infanterie (1930),Drama|Romance|War
272,21571,Zemlya (1930),Drama
273,21576,À propos de Nice (1930),Documentary|Short|Comedy
274,21577,L'âge d'or (1930),Comedy|Drama
275,21636,The Bad Sister (1931),Drama
276,21646,Beau Hunks (1931),Short|Comedy
277,21649,Behind Office Doors (1931),Drama|Romance
278,21684,Born to Love (1931),Drama|Romance|War
279,21738,Chickens Come Home- (1931),Short|Comedy
280,21739,La chienne (1931),Crime|Drama
281,21746,Cimarron (1931),Drama|Western
282,21749,City Lights (1931),Comedy|Drama|Romance
283,21750,City Streets (1931),Crime|Drama|Film-Noir|Romance
284,21755,Come Clean (1931),Short|Comedy
285,21772,The Cuban Love Song (1931),Musical|Romance
286,21785,Daughter of the Dragon (1931),Crime|Drama
287,21814,Dracula (1931),Fantasy|Horror
288,21815,Drácula (1931),Drama|Fantasy|Horror
289,21861,Fighting Caravans (1931),Romance|Western
290,21884,Frankenstein (1931),Drama|Horror|Sci-Fi
291,21885,A Free Soul (1931),Crime|Drama|Romance
292,21890,The Front Page (1931),Comedy
293,22017,Kameradschaft (1931),Drama
294,22047,The Lady Who Dared (1931),Drama
295,22048,Shukujo to hige (1931),Comedy|Romance
296,22058,Laughing Gravy (1931),Short|Comedy
297,22080,Limite (1931),Drama|Romance
298,22100,M - Eine Stadt sucht einen Mörder (1931),Crime|Mystery|Thriller
299,22105,Madamu to nyôbô (1931),Comedy|Drama
300,22117,The Man in Possession (1931),Comedy
301,22125,Marius (1931),Comedy|Drama|Romance
302,22149,Millie (1931),Drama|Romance
303,22150,Le million (1931),Musical|Comedy
304,22158,Monkey Business (1931),Comedy|Musical
305,22183,Mädchen in Uniform (1931),Drama|Romance
306,22204,Niemandsland (1931),Drama|War
307,22208,Night Nurse (1931),Comedy|Crime|Drama
308,22251,Pardon Us (1931),Comedy|Crime|Drama|Musical
309,22279,Private Lives (1931),Comedy|Drama|Romance
310,22286,The Public Enemy (1931),Crime|Drama
311,22335,Safe in Hell (1931),Crime|Drama
312,22339,Santa (1932),Drama
313,22395,The Skin Game (1931),Drama
314,22397,Skippy (1931),Comedy|Drama|Family
315,22403,Smart Money (1931),Crime|Drama
316,22404,Smart Woman (1931),Comedy|Drama|Romance
317,22454,Svengali (1931),Drama|Horror|Romance|Sci-Fi
318,22458,Tabu: A Story of the South Seas (1931),Drama|Romance|Adventure
319,22462,"Taris, roi de l'eau (1931)",Documentary|Short|Sport
320,22495,Trader Horn (1931),Action|Adventure|Drama|Romance
321,22517,Under 18 (1931),Drama|Romance
322,22599,À nous la liberté (1931),Comedy|Musical
323,22628,The Animal Kingdom (1932),Comedy|Drama|Romance
324,22630,Any Old Port! (1932),Short|Comedy
325,22694,Das blaue Licht (1932),Drama|Fantasy|Mystery
326,22718,Boudu sauvé des eaux (1932),Comedy
327,22732,Buzzin' Around (1933),Short|Comedy
328,22778,The Conquerors (1932),Drama|Western
329,22782,County Hospital (1932),Short|Comedy
330,22787,Les croix de bois (1932),Drama|War
331,22792,The Crowd Roars (1932),Action|Drama|Sport
332,22807,The Dentist (1932),Comedy|Short
333,22817,The Devil's Cabaret (1930),Comedy|Musical|Short
334,22834,Downstairs (1932),Drama|Romance
335,22835,Dr. Jekyll and Mr. Hyde (1931),Horror|Sci-Fi
336,22879,A Farewell to Arms (1932),Drama|Romance|War
337,22882,Fast Life (1932),Comedy|Romance|Sport
338,22883,The Fatal Glass of Beer (1933),Short|Comedy
339,22913,Freaks (1932),Drama|Horror
340,22958,Grand Hotel (1932),Drama|Romance
341,22981,Haunted Gold (1932),Horror|Mystery|Western
342,22991,Hell's House (1932),Drama
343,22994,Helpmates (1932),Short|Comedy
344,23027,Horse Feathers (1932),Comedy|Musical|Romance|Sport
345,23037,Las Hurdes (1933),Documentary|Short
346,23042,I Am a Fugitive from a Chain Gang (1932),Crime|Drama|Film-Noir
347,23049,If I Had a Million (1932),Comedy|Drama
348,23054,The Impassive Footman (1932),Crime|Drama
349,23130,"Let Me Explain, Dear (1932)",Comedy
350,23158,Love Me Tonight (1932),Comedy|Musical|Romance
351,23180,Man Wanted (1932),Romance|Comedy|Drama
352,23194,The Mask of Fu Manchu (1932),Adventure|Horror|Sci-Fi
353,23202,Me and My Gal (1932),Comedy|Drama|Romance
354,23213,Merrily We Go to Hell (1932),Comedy|Drama|Romance
355,23238,The Most Dangerous Game (1932),Action|Adventure|Thriller
356,23245,The Mummy (1932),Fantasy|Horror
357,23249,Murders in the Rue Morgue (1932),Crime|Horror|Mystery
358,23251,The Music Box (1932),Comedy|Short
359,23266,Night After Night (1932),Comedy|Drama
360,23285,Number Seventeen (1932),Crime|Mystery|Thriller
361,23293,The Old Dark House (1932),Comedy|Horror|Thriller
362,23300,On the Loose (1931),Comedy|Short
363,23302,Once in a Lifetime (1932),Comedy
364,23303,One Hour with You (1932),Comedy|Musical|Romance
365,23305,One Way Passage (1932),Comedy|Drama|Romance
366,23312,Pack Up Your Troubles (1932),Comedy|War
367,23327,Penguin Pool Murder (1932),Comedy|Drama|Mystery|Romance
368,23333,The Phantom Express (1932),Mystery|Thriller
369,23349,Polly of the Circus (1932),Comedy|Drama|Romance
370,23362,The Purchase Price (1932),Drama|Comedy
371,23369,Rain (1932),Drama
372,23395,Rich and Strange (1931),Comedy|Romance|Thriller
373,23427,Scarface (1932),Action|Crime|Drama|Film-Noir|Thriller
374,23439,Scram! (1932),Comedy|Short
375,23458,Shanghai Express (1932),Adventure|Drama|Romance|Thriller
376,23563,Das Testament des Dr. Mabuse (1933),Crime
377,23578,Their First Mistake (1932),Comedy|Short
378,23583,The Thirteenth Guest (1932),Mystery|Thriller
379,23590,Three on a Match (1932),Crime|Drama|Romance
380,23613,Towed in a Hole (1932),Comedy|Short
381,23622,Trouble in Paradise (1932),Comedy|Crime|Romance
382,23634,Otona no miru ehon - Umarete wa mita keredo (1932),Comedy|Drama
383,23640,Unheimliche Geschichten (1932),Comedy|Sci-Fi|Horror
384,23642,Union Depot (1932),Comedy|Drama|Romance
385,23649,Vampyr (1932),Fantasy|Horror
386,23685,The Wet Parade (1932),Drama|History|Romance
387,23686,What Price Hollywood? (1932),Drama
388,23694,White Zombie (1932),Horror
389,23753,Alice in Wonderland (1933),Adventure|Family|Fantasy
390,23775,Baby Face (1933),Drama|Romance
391,23785,Beauty for Sale (1933),Drama|Romance
392,23814,The Bitter Tea of General Yen (1932),Drama|Romance|War
393,23817,Blondie Johnson (1933),Crime|Drama
394,23848,Broadway to Hollywood (1933),History|Musical
395,23858,Busy Bodies (1933),Short|Comedy
396,23876,Cavalcade (1933),Drama|Romance|War
397,23902,El compadre Mendoza (1934),Drama|War
398,23923,A Cuckoo in the Nest (1933),Comedy
399,23926,Dancing Lady (1933),Comedy|Musical|Romance
400,23937,Dekigokoro (1933),Drama
401,23940,Design for Living (1933),Comedy|Romance
402,23948,Dinner at Eight (1933),Comedy|Drama
403,23950,Dirty Work (1933),Short|Comedy|Sci-Fi
404,23960,Double Harness (1933),Comedy|Drama
405,23969,Duck Soup (1933),Comedy|Musical|War
406,24028,Footlight Parade (1933),Comedy|Musical|Romance
407,24034,42nd Street (1933),Comedy|Musical|Romance
408,24054,The Ghost Camera (1933),Comedy|Crime|Mystery
409,24069,Gold Diggers of 1933 (1933),Comedy|Drama|Musical
410,24083,Hallelujah I'm a Bum (1933),Comedy|Drama|Musical
411,24092,Havana Widows (1933),Comedy
412,24120,Hijôsen no onna (1933),Crime|Drama|Romance
413,24124,His Private Secretary (1933),Comedy|Romance
414,24166,I'm No Angel (1933),Comedy|Musical|Romance
415,24183,International House (1933),Comedy
416,24184,The Invisible Man (1933),Horror|Sci-Fi
417,24188,Island of Lost Souls (1932),Horror|Sci-Fi
418,24210,The Kennel Murder Case (1933),Crime|Mystery
419,24216,King Kong (1933),Adventure|Horror|Sci-Fi
420,24235,Københavnere (1933),
421,24252,Liebelei (1933),Drama|Romance
422,24264,Little Women (1933),Drama|Family|Romance
423,24316,Me and My Pal (1933),Short|Comedy
424,24335,The Midnight Patrol (1933),Short|Comedy
425,24353,Morning Glory (1933),Drama|Romance
426,24402,Okraina (1933),Drama|War
427,24450,Picture Snatcher (1933),Drama|Crime
428,24473,The Private Life of Henry VIII. (1933),Biography|Comedy|Drama|History|Romance
429,24481,Queen Christina (1933),Biography|Drama|History|Romance
430,24548,She Done Him Wrong (1933),Comedy|Drama|History|Musical|Romance
431,24554,A Shriek in the Night (1933),Crime|Mystery|Romance|Thriller
432,24601,Sons of the Desert (1933),Comedy
433,24659,Those Were the Days (1934),Comedy
434,24660,Three Little Pigs (1933),Animation|Short|Comedy|Family|Musical
435,24706,Twice Two (1933),Comedy|Short
436,24747,Waltzes from Vienna (1934),Biography|Music|Romance
437,24803,Zéro de conduite: Jeunes diables au collège (1933),Short|Comedy|Drama
438,24831,Anne of Green Gables (1934),Comedy|Drama|Family
439,24844,L'Atalante (1934),Comedy|Drama|Romance
440,24852,Babes in Toyland (1934),Comedy|Family|Fantasy|Musical
441,24873,Belle of the Nineties (1934),Comedy|Drama|Musical
442,24894,The Black Cat (1934),Adventure|Crime|Horror|Romance|Thriller
443,24914,Bright Eyes (1934),Comedy|Drama|Family|Musical
444,24933,Bulldog Jack (1935),Comedy|Crime|Mystery
445,24989,The Clairvoyant (1934),Drama|Mystery|Romance
446,25004,The Count of Monte Cristo (1934),Action|Adventure|Drama|History|Romance|Thriller
447,25132,Forsaking All Others (1934),Comedy|Drama|Romance
448,25164,The Gay Divorcee (1934),Comedy|Musical|Romance
449,25187,Going Spanish (1934),Comedy|Musical|Short
450,25263,Hollywood Party (1934),Animation|Comedy|Musical
451,25272,The House of Rothschild (1934),Biography|Drama|History
452,25290,I've Got Your Number (1934),Comedy|Romance
453,25301,Imitation of Life (1934),Drama|Romance
454,25316,It Happened One Night (1934),Comedy|Romance
455,25318,It's a Gift (1934),Comedy
456,25330,Jimmy the Gent (1934),Comedy|Crime|Drama|Romance
457,25335,Judge Priest (1934),Comedy|Drama|Romance
458,25373,The Lawless Frontier (1934),Romance|Western
459,25409,The Little Minister (1934),Drama|Romance
460,25413,The Live Ghost (1934),Short|Comedy
461,25452,The Man Who Knew Too Much (1934),Crime|Mystery|Thriller
462,25456,Man of Aran (1934),Documentary
463,25461,Mandalay (1934),Drama|Romance
464,25464,Manhattan Melodrama (1934),Crime|Drama|Romance
465,25492,The Merry Frinks (1934),Comedy|Drama
466,25494,Merry Wives of Reno (1934),Comedy
467,25586,Of Human Bondage (1934),Drama|Romance
468,25590,The Old Fashioned Way (1934),Comedy
469,25591,Oliver the Eighth (1934),Short|Comedy
470,25592,On demande une brute (1934),Short
471,25610,Our Daily Bread (1934),Drama|Romance
472,25641,Peculiar Penguins (1934),Animation|Short|Comedy
473,25746,The Scarlet Empress (1934),Drama|History|Romance
474,25759,The Secret of the Loch (1934),Adventure|Fantasy|Comedy
475,25803,Smarty (1934),Comedy|Romance
476,25862,Tarzan and His Mate (1934),Action|Adventure
477,25873,Them Thar Hills (1934),Comedy|Short
478,25878,The Thin Man (1934),Comedy|Crime|Mystery
479,25905,Transatlantic Merry-Go-Round (1934),Comedy|Musical|Mystery
480,25913,Triumph des Willens (1935),Documentary|History|War
481,25919,Twentieth Century (1934),Comedy|Romance
482,25929,Ukikusa monogatari (1934),Drama
483,25948,Viva Villa! (1934),Biography|Western
484,26029,The 39 Steps (1935),Mystery|Thriller
485,26040,Aerograd (1935),Drama
486,26123,The Black Room (1935),Crime|Horror
487,26132,Boys Will Be Boys (1935),Comedy
488,26138,The Bride of Frankenstein (1935),Drama|Horror|Sci-Fi
489,26174,Captain Blood (1935),Action|Adventure
490,26202,Cheer Up (1936),Musical
491,26221,Clive of India (1935),Action|Adventure|Biography
492,26246,Crime and Punishment (1935),Crime|Drama
493,26252,Curly Top (1935),Family|Musical|Romance
494,26258,Dandy Dick (1935),Comedy
495,26261,Dangerous (1935),Drama
496,26266,"The Personal History, Adventures, Experience, &amp; Observation of David Copperfield the Younger (1935)",Adventure|Drama|Romance
497,26276,The Devil Is a Woman (1935),Comedy|Drama|Romance
498,26312,Emil and the Detectives (1935),Adventure|Family
499,26362,The Fixer Uppers (1935),Short|Comedy
500,26394,Gai dimanche! (1935),Short|Comedy
501,26406,The Ghost Goes West (1935),Comedy|Fantasy|Horror|Romance
502,26465,Here Comes Cookie (1935),Comedy|Music
503,26529,The Informer (1935),Crime|Drama
504,26549,Jinsei no onimotsu (1935),Comedy
505,26614,Lawless Range (1935),Western
506,26663,Mad Love (1935),Horror|Romance|Sci-Fi
507,26685,Mark of the Vampire (1935),Horror|Mystery
508,26714,A Midsummer Night's Dream (1935),Comedy|Fantasy|Romance
509,26721,Miss Pacific Fleet (1935),Comedy|Romance
510,26743,"Maria Marten, or The Murder in the Red Barn (1935)",Crime|Drama
511,26752,Mutiny on the Bounty (1935),Adventure|Biography|Drama|History|Romance
512,26756,The Mystery Man (1935),Action|Adventure|Crime|Mystery|Romance
513,26768,Naughty Marietta (1935),Drama|Musical|Romance
514,26778,A Night at the Opera (1935),Comedy|Music|Musical
515,26866,Peter Ibbetson (1935),Drama|Fantasy|Romance
516,26868,The Phantom Light (1935),Mystery|Thriller
517,26912,The Raven (1935),Crime|Horror
